iter	Passed	Remaining
0	1	1852
1	3	1618
2	4	1443
3	6	1510
4	7	1509
5	9	1536
6	11	1643
7	13	1628
8	14	1620
9	16	1610
10	17	1588
11	19	1564
12	20	1556
13	21	1547
14	23	1532
15	24	1514
16	26	1551
17	28	1547
18	29	1543
19	31	1541
20	32	1522
21	33	1501
22	35	1498
23	36	1479
24	37	1459
25	38	1452
26	39	1440
27	41	1442
28	42	1436
29	44	1429
30	45	1413
31	46	1403
32	47	1401
33	49	1396
34	50	1396
35	52	1392
36	53	1392
37	54	1388
38	56	1403
39	58	1409
40	60	1413
41	62	1420
42	64	1425
43	65	1427
44	67	1429
45	69	1435
46	71	1440
47	73	1448
48	74	1450
49	76	1452
50	78	1455
51	80	1460
52	81	1459
53	83	1457
54	84	1452
55	86	1450
56	87	1452
57	89	1454
58	91	1452
59	92	1452
60	94	1450
61	95	1446
62	97	1443
63	98	1443
64	100	1440
65	101	1442
66	103	1447
67	105	1444
68	106	1442
69	108	1441
70	110	1439
71	111	1438
72	113	1437
73	114	1430
74	115	1425
75	117	1424
76	119	1426
77	120	1422
78	121	1419
79	123	1417
80	124	1411
81	125	1405
82	126	1400
83	128	1397
84	129	1392
85	130	1386
86	131	1380
87	133	1385
88	134	1379
89	135	1372
90	136	1365
91	137	1361
92	139	1357
93	140	1354
94	141	1348
95	142	1342
96	143	1338
97	144	1334
98	146	1330
99	148	1333
100	150	1335
101	151	1335
102	152	1332
103	154	1329
104	155	1328
105	157	1324
106	158	1320
107	159	1316
108	160	1314
109	162	1313
110	164	1315
111	166	1316
112	167	1315
113	169	1315
114	170	1312
115	171	1310
116	173	1309
117	174	1306
118	176	1305
119	177	1303
120	179	1306
121	181	1305
122	182	1303
123	184	1301
124	185	1298
125	186	1294
126	188	1292
127	190	1295
128	191	1290
129	192	1288
130	194	1290
131	196	1291
132	198	1292
133	200	1293
134	202	1297
135	204	1301
136	206	1303
137	209	1307
138	212	1314
139	214	1314
140	216	1316
141	218	1318
142	220	1318
143	222	1320
144	224	1323
145	226	1324
146	228	1325
147	230	1325
148	232	1328
149	234	1329
150	236	1330
151	238	1329
152	240	1332
153	242	1331
154	244	1330
155	245	1330
156	247	1330
157	249	1329
158	251	1328
159	252	1327
160	255	1329
161	257	1330
162	259	1330
163	260	1329
164	262	1328
165	264	1327
166	265	1323
167	266	1321
168	268	1319
169	270	1318
170	271	1317
171	273	1314
172	274	1311
173	275	1309
174	277	1306
175	278	1302
176	279	1298
177	280	1293
178	281	1289
179	282	1285
180	283	1282
181	284	1279
182	286	1279
183	287	1275
184	288	1271
185	289	1267
186	291	1265
187	292	1261
188	293	1258
189	294	1254
190	295	1251
191	296	1247
192	297	1245
193	299	1242
194	300	1241
195	302	1238
196	303	1236
197	304	1233
198	306	1232
199	307	1229
200	308	1225
201	309	1222
202	310	1218
203	311	1215
204	312	1213
205	314	1211
206	315	1209
207	317	1209
208	318	1207
209	320	1205
210	321	1202
211	322	1199
212	323	1196
213	324	1193
214	325	1189
215	327	1187
216	328	1185
217	329	1181
218	330	1180
219	332	1178
220	333	1175
221	334	1173
222	336	1170
223	337	1167
224	338	1165
225	339	1162
226	340	1158
227	341	1156
228	342	1154
229	343	1151
230	345	1148
231	346	1146
232	347	1145
233	349	1143
234	350	1141
235	351	1139
236	353	1137
237	354	1135
238	355	1133
239	356	1130
240	358	1127
241	359	1124
242	360	1122
243	361	1121
244	363	1120
245	365	1118
246	366	1116
247	367	1114
248	369	1113
249	370	1111
250	372	1110
251	374	1110
252	375	1108
253	376	1107
254	378	1106
255	380	1105
256	381	1103
257	383	1101
258	384	1099
259	385	1097
260	387	1096
261	388	1094
262	389	1092
263	391	1090
264	392	1089
265	394	1088
266	395	1087
267	397	1085
268	398	1083
269	400	1081
270	401	1079
271	402	1078
272	404	1076
273	405	1074
274	406	1072
275	408	1072
276	410	1071
277	411	1069
278	413	1067
279	414	1065
280	415	1063
281	417	1062
282	418	1060
283	419	1058
284	421	1056
285	422	1054
286	424	1054
