"loan_status","loan_amnt","grade","home_ownership","annual_inc","age","emp_cat","ir_cat"
0,5000,"B","RENT",24000,33,"0-15","8-11"
0,2400,"C","RENT",12252,31,"15-30","Missing"
0,10000,"C","RENT",49200,24,"0-15","11-13.5"
0,5000,"A","RENT",36000,39,"0-15","Missing"
0,3000,"E","RENT",48000,24,"0-15","Missing"
0,12000,"B","OWN",75000,28,"0-15","11-13.5"
1,9000,"C","RENT",30000,22,"0-15","11-13.5"
0,3000,"B","RENT",15000,22,"0-15","8-11"
1,10000,"B","RENT",100000,28,"0-15","8-11"
0,1000,"D","RENT",28000,22,"0-15","13.5+"
0,10000,"C","RENT",42000,23,"0-15","Missing"
0,3600,"A","MORTGAGE",110000,27,"0-15","0-8"
0,6000,"B","MORTGAGE",84000,30,"0-15","Missing"
0,9200,"A","RENT",77385.19,24,"0-15","0-8"
1,21000,"B","RENT",105000,29,"15-30","11-13.5"
0,10000,"B","OWN",50000,23,"0-15","11-13.5"
0,10000,"B","RENT",50000,22,"0-15","11-13.5"
1,6000,"B","RENT",76000,31,"0-15","11-13.5"
0,15000,"B","MORTGAGE",92000,23,"0-15","8-11"
1,15000,"C","RENT",60000,30,"0-15","13.5+"
0,4000,"B","MORTGAGE",106000,27,"15-30","11-13.5"
0,8500,"B","RENT",25000,24,"0-15","11-13.5"
0,4375,"A","MORTGAGE",17108,38,"0-15","0-8"
0,31825,"A","MORTGAGE",75000,23,"0-15","0-8"
0,5000,"A","RENT",24044,22,"0-15","8-11"
0,7000,"C","RENT",34000,27,"0-15","13.5+"
0,12400,"B","RENT",41000,36,"15-30","8-11"
0,10800,"B","RENT",55596,35,"0-15","8-11"
0,15000,"A","RENT",45000,23,"0-15","0-8"
0,6000,"B","RENT",36852,25,"0-15","11-13.5"
0,9600,"A","RENT",68004,22,"0-15","0-8"
0,12000,"A","RENT",62300,25,"0-15","0-8"
0,3000,"D","MORTGAGE",65000,26,"0-15","13.5+"
0,4400,"D","RENT",55000,24,"15-30","13.5+"
0,6000,"A","MORTGAGE",45600,21,"15-30","0-8"
0,14000,"B","RENT",80000,26,"0-15","Missing"
1,5000,"A","MORTGAGE",100000,27,"15-30","8-11"
0,10000,"B","RENT",27000,23,"0-15","8-11"
0,10000,"A","RENT",60000,37,"0-15","Missing"
0,11000,"A","RENT",70000,26,"0-15","0-8"
1,15000,"B","MORTGAGE",80000,26,"0-15","8-11"
0,25600,"B","RENT",110000,29,"0-15","Missing"
0,7000,"B","RENT",40000,22,"0-15","8-11"
1,12000,"C","RENT",50000,29,"0-15","13.5+"
0,12000,"B","RENT",46000,38,"0-15","8-11"
0,10000,"B","OWN",39000,33,"0-15","11-13.5"
0,10000,"B","RENT",51400,23,"0-15","8-11"
0,7100,"D","MORTGAGE",33000,29,"0-15","13.5+"
0,8000,"D","RENT",62000,29,"0-15","Missing"
0,3500,"B","MORTGAGE",55000,33,"0-15","8-11"
0,16425,"C","RENT",44544,27,"0-15","13.5+"
0,15000,"C","OWN",61000,25,"0-15","13.5+"
1,6400,"D","RENT",75000,35,"0-15","13.5+"
0,3000,"C","RENT",33600,27,"0-15","11-13.5"
0,12000,"D","RENT",50000,25,"0-15","13.5+"
0,14400,"A","OWN",150000,25,"0-15","8-11"
0,12000,"C","RENT",90000,28,"15-30","13.5+"
0,11000,"C","MORTGAGE",48000,26,"15-30","11-13.5"
0,15000,"A","MORTGAGE",52000,37,"0-15","Missing"
0,10000,"C","RENT",68000,29,"0-15","13.5+"
0,11800,"B","RENT",42000,23,"0-15","11-13.5"
0,4500,"A","RENT",53000,40,"0-15","0-8"
0,7000,"B","RENT",35000,24,"0-15","11-13.5"
0,9200,"B","RENT",60000,27,"0-15","11-13.5"
0,12000,"D","RENT",88365,28,"0-15","13.5+"
0,12000,"C","RENT",72000,28,"0-15","11-13.5"
0,12000,"B","RENT",62000,28,"0-15","8-11"
0,7000,"B","MORTGAGE",43680,27,"0-15","8-11"
0,10500,"B","RENT",66000,31,"0-15","11-13.5"
0,7000,"B","OWN",39120,23,"0-15","11-13.5"
0,3500,"A","MORTGAGE",83000,27,"0-15","0-8"
1,6200,"B","RENT",25000,36,"0-15","8-11"
0,6000,"A","OWN",28800,26,"0-15","8-11"
0,7200,"B","RENT",135000,25,"0-15","8-11"
0,9500,"A","MORTGAGE",50000,27,"0-15","8-11"
0,24000,"B","RENT",45000,40,"0-15","8-11"
0,6000,"C","RENT",80000,32,"15-30","Missing"
0,6000,"C","RENT",50000,29,"0-15","11-13.5"
0,2100,"B","MORTGAGE",30000,48,"15-30","11-13.5"
0,5500,"A","MORTGAGE",110000,25,"0-15","0-8"
0,11000,"A","OWN",45608,26,"0-15","0-8"
0,8000,"B","MORTGAGE",35000,35,"0-15","11-13.5"
1,10000,"D","RENT",75000,24,"0-15","13.5+"
0,8000,"B","MORTGAGE",35000,24,"0-15","11-13.5"
0,10000,"A","RENT",24000,33,"0-15","8-11"
0,12000,"B","MORTGAGE",126000,28,"0-15","11-13.5"
0,10000,"A","RENT",43000,37,"0-15","0-8"
0,12000,"B","RENT",50000,26,"0-15","Missing"
1,19750,"B","RENT",45000,42,"0-15","8-11"
0,10000,"B","RENT",31200,25,"0-15","8-11"
0,13650,"B","RENT",66000,45,"0-15","11-13.5"
0,18000,"A","RENT",56964,29,"0-15","Missing"
0,2500,"C","RENT",49500,22,"0-15","13.5+"
0,35000,"A","MORTGAGE",125000,23,"0-15","8-11"
0,10000,"A","RENT",33000,25,"0-15","0-8"
0,7000,"B","RENT",30000,23,"0-15","11-13.5"
1,24000,"C","MORTGAGE",90000,24,"0-15","13.5+"
0,10625,"A","MORTGAGE",23000,22,"0-15","0-8"
0,5000,"C","RENT",24000,37,"0-15","13.5+"
0,8850,"A","RENT",62000,24,"15-30","0-8"
0,6375,"A","RENT",44000,25,"0-15","Missing"
0,6000,"B","RENT",90000,27,"0-15","11-13.5"
1,11100,"A","RENT",41000,38,"15-30","0-8"
0,6200,"A","MORTGAGE",26500,44,"0-15","0-8"
0,15000,"E","RENT",54000,26,"0-15","13.5+"
0,4200,"B","RENT",53000,35,"0-15","11-13.5"
0,14000,"C","RENT",52800,23,"0-15","13.5+"
0,8875,"A","MORTGAGE",38000,26,"0-15","0-8"
0,13500,"B","RENT",38000,21,"0-15","8-11"
1,12000,"B","RENT",42000,24,"0-15","8-11"
0,6000,"B","MORTGAGE",87000,24,"0-15","8-11"
1,10000,"B","RENT",60000,46,"0-15","11-13.5"
0,12000,"D","MORTGAGE",80000,26,"0-15","13.5+"
0,7200,"B","RENT",48000,22,"0-15","11-13.5"
1,5600,"C","MORTGAGE",85000,24,"0-15","13.5+"
0,12000,"C","RENT",57000,23,"0-15","Missing"
0,8500,"A","RENT",25000,23,"0-15","0-8"
0,8000,"B","RENT",34000,22,"0-15","8-11"
0,8000,"B","RENT",40000,25,"0-15","11-13.5"
0,15000,"D","MORTGAGE",44400,23,"0-15","13.5+"
0,10000,"B","OWN",30000,32,"0-15","8-11"
0,10000,"A","MORTGAGE",70000,23,"0-15","0-8"
0,8000,"C","RENT",28000,25,"0-15","13.5+"
0,22000,"B","MORTGAGE",50000,22,"0-15","8-11"
0,6000,"C","MORTGAGE",94800,23,"0-15","13.5+"
1,2500,"A","OWN",12000,21,"Missing","0-8"
0,13500,"B","MORTGAGE",36000,30,"0-15","8-11"
0,25000,"B","RENT",225000,30,"0-15","11-13.5"
0,10000,"C","RENT",45900,65,"0-15","Missing"
0,2500,"C","RENT",27200,26,"0-15","11-13.5"
0,7325,"B","RENT",42000,23,"0-15","11-13.5"
0,4000,"B","RENT",135000,28,"0-15","11-13.5"
1,10000,"C","RENT",65000,35,"0-15","11-13.5"
1,7750,"D","RENT",24000,24,"0-15","13.5+"
0,9600,"B","RENT",65000,30,"0-15","11-13.5"
0,14000,"B","RENT",30000,21,"0-15","8-11"
0,13350,"B","RENT",43000,31,"15-30","11-13.5"
1,15000,"D","RENT",42000,27,"15-30","13.5+"
1,15000,"D","RENT",75000,50,"0-15","Missing"
0,35000,"B","MORTGAGE",168000,25,"0-15","8-11"
0,9000,"B","MORTGAGE",74000,22,"0-15","Missing"
1,16000,"B","RENT",58500,22,"0-15","11-13.5"
0,13500,"B","RENT",71000,26,"0-15","11-13.5"
0,24000,"B","RENT",75000,22,"0-15","11-13.5"
0,12000,"B","RENT",60000,26,"0-15","8-11"
0,14000,"A","RENT",66000,26,"30-45","0-8"
1,12000,"C","MORTGAGE",70000,33,"0-15","Missing"
0,25000,"B","MORTGAGE",100000,23,"0-15","11-13.5"
0,9000,"B","RENT",50000,25,"0-15","11-13.5"
0,13250,"B","RENT",35000,28,"0-15","8-11"
0,20000,"C","RENT",75000,28,"0-15","11-13.5"
0,3000,"C","RENT",71000,22,"0-15","13.5+"
