IFRS(연결),2021/12,2022/12,2023/12,2024/09
자산,4266212.0,4484245.0,4559060.0,4913073.0
유동자산계산에 참여한 계정 펼치기,2181632.0,2184706.0,1959366.0,2192351.0
비유동자산계산에 참여한 계정 펼치기,2084580.0,2299539.0,2599694.0,2720722.0
기타금융업자산,,,,
부채,1217212.0,936749.0,922281.0,1050260.0
유동부채계산에 참여한 계정 펼치기,881171.0,783449.0,757195.0,870319.0
비유동부채계산에 참여한 계정 펼치기,336041.0,153301.0,165087.0,179941.0
기타금융업부채,,,,
자본,3048999.0,3547496.0,3636779.0,3862814.0
지배기업주주지분계산에 참여한 계정 펼치기,2962377.0,3451861.0,3532338.0,3761522.0
비지배주주지분,86622.0,95635.0,104441.0,101292.0
