iter	Passed	Remaining
0	1590	1589103
1	3100	1547068
2	4565	1517169
3	5811	1447123
4	7397	1472165
5	8732	1446748
6	10139	1438290
7	11250	1395043
8	12683	1396606
9	14084	1394357
10	15554	1398471
11	16823	1385166
12	18030	1368962
13	19311	1360057
14	20670	1357331
15	22123	1360605
16	23629	1366325
17	24937	1360504
18	26190	1352243
19	27369	1341126
20	28915	1348034
21	30036	1335238
22	31282	1328811
23	32546	1323563
24	33805	1318419
25	35310	1322795
26	36789	1325785
27	38199	1326079
28	39377	1318456
29	40723	1316718
30	42147	1317457
31	43762	1323810
32	44796	1312687
33	46207	1312840
34	47549	1310997
35	49256	1318986
36	50555	1315804
37	51950	1315165
38	53510	1318559
39	54906	1317750
40	56133	1312971
41	57654	1315076
42	59189	1317303
43	60463	1313711
44	61820	1311962
45	63538	1317731
46	65047	1318941
47	66400	1316934
48	67504	1310129
49	68584	1303097
50	70073	1303918
51	71761	1308266
52	72947	1303415
53	74399	1303367
54	75639	1299616
55	76848	1295446
56	78234	1294294
57	79734	1294993
58	80986	1291659
59	82095	1286169
60	83479	1285036
61	84778	1282617
62	85963	1278543
63	87317	1277022
64	88695	1275855
65	90009	1273770
66	91175	1269652
67	92188	1263523
68	93396	1260171
69	94929	1261201
70	96332	1260460
71	97670	1258870
72	99321	1261244
73	100683	1259902
74	101881	1256539
75	103631	1259943
76	104943	1257955
77	106284	1256332
78	107946	1258468
79	109141	1255127
80	110361	1252125
81	112048	1254393
82	113307	1251844
83	114998	1254036
84	116965	1259102
85	118448	1258859
86	120246	1261900
87	122357	1268065
88	123949	1268741
89	126355	1277591
90	127592	1274522
91	128839	1271589
92	130207	1269876
93	131787	1270211
94	133371	1270537
95	135111	1272297
96	136668	1272289
97	137964	1269836
98	140266	1276566
99	142422	1281801
100	143664	1278753
101	145388	1279986
102	147859	1287673
103	149248	1285832
104	151914	1294890
105	154336	1301669
106	156078	1302594
107	158180	1306452
108	160455	1311614
109	162598	1315567
110	165748	1327477
111	167745	1329980
112	170229	1336227
113	172291	1339039
114	175406	1349865
115	177787	1354864
116	179550	1355071
117	182318	1362752
118	184249	1364064
119	185983	1363881
120	187649	1363170
121	191137	1375564
122	193996	1383210
123	197932	1398299
124	201749	1412243
125	205004	1422012
126	209257	1438440
127	212533	1447882
128	215751	1456738
129	219502	1468978
130	223670	1483738
131	228225	1500755
132	236246	1540043
133	242018	1564090
134	244938	1569422
135	250105	1588906
136	254959	1606060
137	259841	1623067
138	262370	1625187
139	266273	1635677
140	269568	1642263
141	274097	1656164
142	276748	1658553
143	280114	1665124
144	282147	1663698
145	285729	1671321
146	289736	1681258
147	292163	1681914
148	294605	1682614
149	299814	1698948
150	304665	1712985
151	308588	1721597
152	313267	1734232
153	316747	1740057
154	321345	1751849
155	326791	1768026
156	330394	1774029
157	333085	1775051
158	336515	1779931
159	341680	1793824
160	345695	1801483
161	349363	1807203
162	351431	1804588
163	356249	1816005
164	359792	1820767
165	361950	1818472
166	364162	1816453
167	366676	1815919
168	369395	1816376
169	372086	1816657
170	376709	1826268
171	380580	1832095
172	385615	1843374
173	393359	1867328
174	398799	1880056
175	405906	1900381
176	408903	1901285
177	412810	1906350
178	416077	1908375
179	420118	1913872
180	427929	1936321
181	433155	1946820
182	437905	1955021
183	443994	1969018
184	448405	1975409
185	453055	1982726
186	456699	1985542
187	459474	1984539
188	463906	1990625
189	468917	1999069
190	473134	2004009
191	475832	2002463
192	479494	2004933
193	483913	2010486
194	489192	2019488
195	491848	2017581
196	496277	2022899
197	503365	2038884
198	508484	2046712
199	511532	2046129
200	519181	2063810
201	522760	2065162
202	526854	2068486
203	530940	2071709
204	534296	2072027
205	543242	2093856
206	547335	2096797
207	550078	2094527
208	554370	2098121
209	557628	2097745
210	564354	2110313
211	568569	2113361
212	576027	2128325
213	582458	2139309
214	586726	2142232
215	589602	2140040
216	593381	2141094
217	596688	2140413
218	603737	2153053
219	613566	2175372
220	617915	2178080
221	624665	2189142
222	628236	2188967
223	632148	2189941
224	635794	2189958
225	640707	2194281
226	645376	2197690
227	648604	2196153
228	653847	2201382
229	660801	2212247
230	665212	2214494
231	673052	2228037
232	680409	2239803
233	685204	2243018
234	698409	2273546
235	704325	2280104
236	709285	2283480
237	714156	2286500
238	721618	2297706
239	727217	2302854
240	732530	2307016
241	736535	2306998
242	742516	2313106
243	748119	2317944
244	754426	2324864
245	763468	2340063
246	768059	2341494
247	775706	2352143
248	781869	2358169
249	791423	2374269
250	795837	2374828
251	805607	2391248
252	812673	2399473
253	817299	2400414
254	823741	2406617
255	828669	2408320
256	833485	2409647
257	838406	2411230
258	842710	2410998
259	847311	2411579
260	852183	2412887
261	862008	2428101
262	867416	2430744
263	879872	2452978
264	899950	2496089
265	912573	2518154
266	927560	2546448
267	946510	2585244
268	957715	2602566
269	966157	2612202
270	982748	2643628
271	993653	2659483
272	1006557	2680465
273	1022175	2708392
274	1058821	2791439
275	1077414	2826260
276	1082261	2824820
277	1089817	2830388
278	1096877	2834582
279	1100954	2831025
280	1104496	2826095
281	1107950	2820950
282	1111026	2814862
283	1114522	2809851
284	1117903	2804565
285	1121876	2800769
286	1126394	2798326
287	1130553	2794979
288	1135553	2793697
289	1142986	2798346
290	1151678	2805978
291	1158162	2808146
292	1161137	2801789
293	1165854	2799636
294	1170560	2797440
295	1173409	2790811
296	1180262	2793684
297	1183983	2789115
298	1187353	2783727
299	1190172	2777068
300	1193072	2770623
301	1196804	2766124
302	1200598	2761771
303	1203322	2754976
304	1206205	2748565
305	1209169	2742364
306	1212174	2736276
307	1216168	2732429
308	1221432	2731423
309	1223749	2723828
310	1227275	2718947
311	1230130	2712595
312	1236305	2713552
313	1239987	2709017
314	1244392	2706058
315	1251302	2708515
316	1258799	2712177
317	1265480	2714017
318	1271961	2715379
319	1286594	2734013
320	1292562	2734110
321	1301592	2740619
322	1304158	2733484
323	1308051	2729143
324	1310984	2722813
325	1313647	2715945
326	1317301	2711144
327	1322546	2709608
328	1325521	2703420
329	1328927	2698124
330	1332528	2693236
331	1338066	2692253
332	1340918	2685863
333	1348544	2689014
334	1353792	2687379
335	1359623	2686875
336	1365381	2686196
337	1369985	2683226
338	1376956	2684862
339	1381214	2681180
340	1384006	2674662
341	1388870	2672154
342	1392564	2667390
343	1396207	2662534
344	1399604	2657219
345	1406214	2657990
346	1409795	2653014
347	1417082	2654993
348	1422488	2653409
349	1427252	2650611
350	1427819	2640042
351	1433105	2638217
352	1436947	2633724
353	1440811	2629278
354	1448324	2631462
355	1451855	2626390
356	1456650	2623602
357	1466413	2629713
358	1470381	2625388
359	1475683	2623437
360	1479274	2618438
361	1484015	2615474
362	1488472	2612002
363	1492302	2607429
364	1496759	2603951
365	1503841	2605015
366	1508952	2602634
367	1514300	2600646
368	1518085	2595967
369	1521740	2591071
370	1525404	2586197
371	1530779	2584219
372	1534177	2578898
373	1540797	2578981
374	1544671	2574452
375	1550281	2572808
376	1554131	2568232
377	1561189	2568941
378	1570232	2572860
379	1576002	2571372
380	1580362	2567569
381	1584357	2563174
382	1590137	2561657
383	1594436	2557741
384	1604028	2562280
385	1610687	2562078
386	1614801	2557811
387	1624992	2563132
388	1629837	2559976
389	1637395	2561055
390	1642707	2558589
391	1651793	2561965
392	1659659	2563393
393	1663917	2559223
394	1670596	2558761
395	1674876	2554609
396	1682946	2556213
397	1689293	2555163
398	1695890	2554462
399	1702231	2553346
400	1722787	2573441
401	1731825	2576198
402	1744596	2584426
403	1751597	2584039
404	1762058	2588703
405	1777938	2601221
406	1789368	2607114
407	1801723	2614265
408	1813663	2620721
409	1829884	2633248
410	1855439	2659012
411	1866242	2663472
412	1878037	2669269
413	1887447	2671604
414	1906131	2686956
415	1916588	2690595
416	1932724	2702106
417	1944681	2707666
418	1971111	2733211
419	1974813	2727123
420	1978782	2721413
421	1984235	2717744
422	1989349	2713604
423	1994564	2709597
424	2003399	2710481
425	2010525	2709017
426	2015430	2704547
427	2019577	2699061
428	2024744	2694940
429	2030347	2691390
430	2037295	2689608
431	2041481	2684170
432	2059059	2696274
433	2064669	2692633
434	2069986	2688603
435	2074105	2683016
436	2080216	2680004
437	2086028	2676593
438	2091900	2673248
439	2096440	2668196
440	2104232	2667269
441	2111142	2665197
442	2115160	2659467
443	2119813	2654541
444	2125239	2650579
445	2131506	2647656
446	2136843	2643566
447	2142548	2639926
448	2147758	2635667
449	2153754	2632366
450	2157708	2626567
451	2161987	2621170
452	2167495	2617262
453	2175001	2615750
454	2178563	2609488
455	2183435	2604799
456	2187613	2599286
457	2195464	2598125
458	2203614	2597288
459	2210025	2594377
460	2215682	2590570
461	2222103	2587643
462	2228294	2584437
463	2252359	2601863
464	2280860	2624215
465	2298878	2634337
466	2319863	2647724
467	2340004	2660005
468	2350129	2660807
469	2357020	2657916
470	2368530	2660196
471	2387390	2670639
472	2405555	2680185
473	2444210	2712351
474	2460188	2719155
475	2494794	2746369
476	2519447	2762413
477	2542810	2776877
478	2575374	2801190
479	2591321	2807265
480	2602853	2808484
481	2618857	2814457
482	2636199	2821770
483	2648791	2823918
484	2692479	2859024
485	2713232	2869550
486	2731753	2877596
487	2745977	2881025
488	2772764	2897510
489	2787693	2901476
490	2805391	2908236
491	2824835	2916699
492	2844442	2925217
493	2865618	2935229
494	2882123	2940347
495	2898326	2945074
496	2927217	2962555
497	2940348	2963965
498	2964750	2976633
499	3020099	3020099
500	3035645	3023527
501	3063665	3039253
502	3102609	3065600
503	3126464	3076838
504	3144666	3082396
505	3158722	3083812
506	3179508	3091711
507	3203296	3102405
508	3240452	3125858
509	3256777	3129060
510	3277589	3136480
511	3320358	3164717
512	3338623	3169414
513	3358737	3175771
514	3379470	3182608
515	3416382	3204514
516	3442561	3216164
517	3474755	3233266
518	3503272	3246770
519	3518971	3248280
520	3542772	3257174
521	3560893	3260741
522	3586491	3271044
523	3620397	3288757
524	3639871	3293216
525	3665829	3303427
526	3705222	3325560
527	3726752	3331490
528	3755292	3343558
529	3786528	3357865
530	3814729	3369318
531	3847765	3384876
532	3879198	3398847
533	3920324	3421106
534	3952421	3435282
535	3968615	3435518
