STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202403,1,11,서울특별시,L,158468,313,163,925,9491,23807,124245
202403,1,26,부산광역시,D,388,1,3,7,73,101,207
202403,1,26,부산광역시,N,6338,36,27,141,610,800,4787
202403,1,26,부산광역시,Q,6888,44,16,118,499,585,5686
202403,1,26,부산광역시,S,25103,152,278,1409,5071,3978,14645
202403,1,28,인천광역시,D,349,1,0,1,31,121,196
202403,1,28,인천광역시,N,4840,28,29,144,532,775,3389
202403,1,28,인천광역시,Q,5565,28,18,86,481,537,4461
202403,1,30,대전광역시,I,22340,333,339,1910,6436,3781,10213
202403,1,36,세종특별자치시,H,784,2,2,10,87,141,546
202403,1,36,세종특별자치시,P,2282,13,33,192,675,553,862
202403,1,43,충청북도,H,7277,38,12,85,779,1094,5319
202403,1,43,충청북도,U,0,0,0,0,0,0,0
202403,1,44,충청남도,K,741,0,1,11,63,66,601
202403,1,44,충청남도,M,4903,21,36,195,725,763,3220
202403,1,44,충청남도,O,469,0,0,1,27,27,414
202403,1,46,전라남도,N,3317,13,11,64,377,526,2350
202403,1,46,전라남도,P,5450,43,75,269,905,804,3472
202403,1,47,경상북도,C,25188,91,41,257,2189,2723,20019
202403,1,47,경상북도,F,16867,48,20,146,1380,2127,13214
202403,1,47,경상북도,K,894,0,4,12,57,76,749
202403,1,47,경상북도,M,5510,22,35,152,665,801,3892
202403,1,48,경상남도,H,13177,63,29,170,1366,1909,9732
202403,1,48,경상남도,I,61501,863,809,4755,16820,9998,29928
202403,1,48,경상남도,T,39,1,0,2,3,4,30
202403,1,50,제주특별자치도,J,754,11,29,101,203,127,323
202403,1,50,제주특별자치도,N,2219,15,18,58,303,308,1550
202403,1,51,강원특별자치도,A,2487,4,2,18,222,388,1859
202403,1,51,강원특별자치도,E,361,0,1,1,25,49,286
202403,1,51,강원특별자치도,L,9977,18,14,102,904,1659,7312
202403,1,51,강원특별자치도,P,5486,41,65,274,992,854,3366
202403,1,51,강원특별자치도,Q,3329,18,5,34,159,280,2856
202403,1,52,전북특별자치도,D,7197,9,7,86,916,2609,3586
202403,1,52,전북특별자치도,M,4581,19,27,123,639,647,3172
